clueweb12-0000tw-00-00000,WP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.,Luke Morton-requires-Flash Player 9
clueweb12-0000tw-00-00093,When only 8 percent of the requested documents are produced and witnesses either refuse to testify while citing their Fifth Amendment right against self-incrimination or are barred from testifying by their executive branch superiors it becomes obvious that the political appointees are covering up actions that are either criminal in nature or that they fear would be politically damaging to Obama.,Fifth Amendment-fear-Obama
clueweb12-0000tw-00-00093,If Obama meant what he wrote in his first executive order the cover-up by his Justice Department appointees could stop as soon as he orders it.,Obama-meant what he-Justice Department
clueweb12-0000tw-00-00093,If Obama meant what he wrote in his first executive order the cover-up by his Justice Department appointees could stop as soon as he orders it.,Obama-wrote in-Justice Department
clueweb12-0000tw-00-00093,On March 24 2009 just sixty days after the inauguration Deputy Attorney General David Ogden announced from the White House that president has directed us to take action... and Attorney General Holder and I have taken several new and aggressive steps....,David Ogden-announced from-the White House
clueweb12-0000tw-00-00093,On March 24 2009 just sixty days after the inauguration Deputy Attorney General David Ogden announced from the White House that president has directed us to take action... and Attorney General Holder and I have taken several new and aggressive steps....,the White House-directed us to-Holder
clueweb12-0000tw-00-00093,On March 24 2009 just sixty days after the inauguration Deputy Attorney General David Ogden announced from the White House that president has directed us to take action... and Attorney General Holder and I have taken several new and aggressive steps....,the White House-take action-Holder
clueweb12-0000tw-00-00093,Ogden goes on to describe those steps saying to its Project Gunrunner.. specifically to facilitate gun tracing....,Ogden-goes on-Gunrunner
clueweb12-0000tw-00-00093,Ogden goes on to describe those steps saying to its Project Gunrunner.. specifically to facilitate gun tracing....,Ogden-describe those steps-Gunrunner
clueweb12-0000tw-00-00093,Ogden goes on to describe those steps saying to its Project Gunrunner.. specifically to facilitate gun tracing....,Ogden-saying to-Gunrunner
clueweb12-0000tw-00-00093,How can Holder hide from the fact that he initiated Project Gunrunner/Fast Furious at the direction of Barack Obama The evidence This public statement from Deputy Attorney General Ogden.,Holder-hide from-Project Gunrunner
clueweb12-0000tw-00-00093,How can Holder hide from the fact that he initiated Project Gunrunner/Fast Furious at the direction of Barack Obama The evidence This public statement from Deputy Attorney General Ogden.,Holder-initiated-Project Gunrunner
clueweb12-0000tw-00-00094,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Stephen-winning a freeâ-Kindle Fire
clueweb12-0000tw-00-00094,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Kindle Fire-thank youâ for-January
clueweb12-0000tw-00-00094,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Kindle Fire-featured in-January
clueweb12-0000tw-00-00094,Join us on Tuesday February 14 as WeddingWireâ€TMs CEO Timothy Chi participates in Washington Post Liveâ€TMs live journalism division of The Washington Post 4-day summit 13-16) American Competitiveness What Works.,Timothy Chi-participates in-Washington Post Liveâ€TMs
clueweb12-0000tw-00-00094,Tim will be among local and national innovators leaders and executives from Google JetBlue and Honest Tea discussing forward-thinking in American Manufacturing Innovation Global Competitiveness and Workforce Veterans and Reservists.,Honest Tea-discussing forward-American Manufacturing Innovation Global Competitiveness and Workforce Veterans and Reservists
clueweb12-0000tw-00-00094,If youâ€TMre in the area start your Valentineâ€TMs Day with us at the Andrew W. Mellon Auditorium to observe Timâ€TMs panel discussion Ideas and Innovation with Dr. Regina Dugan Defense Advanced Research Projects Agency) Alfred Spector of Research and Special Initiatives Google and Moderator Mary Jordan Washington Post Live.,the Andrew W. Mellon Auditorium-observe-Ideas and Innovation
clueweb12-0000tw-00-00094,Creating contacts is particularly important in the wedding industry and WeddingWire offers a unique professional networking tool the Pro Network to connect your business to other Wedding Pros.,WeddingWire-offers a unique professional networking tool the-the Pro Network
clueweb12-0000tw-00-00094,"As part of our new series A Look Inside WeddingWire HQ, we want to give you an insider’s look into our office located just outside Washington D.C. in Bethesda Maryland.",A Look Inside WeddingWire HQ-want to-Washington D.C.
clueweb12-0000tw-00-00094,"As part of our new series A Look Inside WeddingWire HQ, we want to give you an insider’s look into our office located just outside Washington D.C. in Bethesda Maryland.",A Look Inside WeddingWire HQ-give you an insider’s-Washington D.C.
clueweb12-0000tw-00-00094,"As part of our new series A Look Inside WeddingWire HQ, we want to give you an insider’s look into our office located just outside Washington D.C. in Bethesda Maryland.",A Look Inside WeddingWire HQ-located just outside-Washington D.C.
clueweb12-0000tw-00-00094,This past Monday we were excited to be back in Philadelphia for WeddingWire Happy Hour Members of the WeddingWire team gathered at The Walnut Room near Rittenhouse Square with Wedding Pros from the Philadelphia and South Jersey area.,WeddingWire-gathered at-The Walnut Room
clueweb12-0000tw-00-00094,Similarly to our past WeddingWire Happy Hour events in San Diego and Richmond Philadelphia and South Jersey Wedding Pros had the opportunity to mix and mingle with other local Pros across all service categories and listen to brief remarks by Kate Hoffman Public Relations Manager WeddingWire.,South Jersey-had the opportunity to-Kate Hoffman
clueweb12-0000tw-00-00094,Similarly to our past WeddingWire Happy Hour events in San Diego and Richmond Philadelphia and South Jersey Wedding Pros had the opportunity to mix and mingle with other local Pros across all service categories and listen to brief remarks by Kate Hoffman Public Relations Manager WeddingWire.,South Jersey-mix-Kate Hoffman
clueweb12-0000tw-00-00094,Similarly to our past WeddingWire Happy Hour events in San Diego and Richmond Philadelphia and South Jersey Wedding Pros had the opportunity to mix and mingle with other local Pros across all service categories and listen to brief remarks by Kate Hoffman Public Relations Manager WeddingWire.,South Jersey-mingle with-Kate Hoffman
clueweb12-0000tw-00-00094,Similarly to our past WeddingWire Happy Hour events in San Diego and Richmond Philadelphia and South Jersey Wedding Pros had the opportunity to mix and mingle with other local Pros across all service categories and listen to brief remarks by Kate Hoffman Public Relations Manager WeddingWire.,South Jersey-listen to-Kate Hoffman
clueweb12-0000tw-00-00094,When you are logged into your account you will see a link below all of your reviews if you like to On January 9 we eagerly announced the 2012 winners of WeddingWire Brideâ€TMs Choice Awardsâ„.,January 9-announced the-WeddingWire
clueweb12-0000tw-00-00094,"This yearâ€TMs recipients represent theÂ top 5 of the WeddingWire local vendor community comprised of over 200,000 wedding professionals throughout the United States and Canada.",WeddingWire-comprised of-the United States
clueweb12-0000tw-00-00094,Just be sure to enter your cupcake before January 30th For the full rules and regulations for the Cupcake Crown see the official rules and be sure to follow along via Facebook and Twitter using the hashtag Pinterest has been spreading the nation like wildfire allowing users to photos and inspiration of their favoriteÂ recipes clothing hair designs and more,the Cupcake Crown-see the official rules-Pinterest
clueweb12-0000tw-00-00094,Just be sure to enter your cupcake before January 30th For the full rules and regulations for the Cupcake Crown see the official rules and be sure to follow along via Facebook and Twitter using the hashtag Pinterest has been spreading the nation like wildfire allowing users to photos and inspiration of their favoriteÂ recipes clothing hair designs and more,the Cupcake Crown-follow along-Pinterest
clueweb12-0000tw-00-00094,Just be sure to enter your cupcake before January 30th For the full rules and regulations for the Cupcake Crown see the official rules and be sure to follow along via Facebook and Twitter using the hashtag Pinterest has been spreading the nation like wildfire allowing users to photos and inspiration of their favoriteÂ recipes clothing hair designs and more,the Cupcake Crown-using the hashtag-Pinterest
clueweb12-0000tw-00-00094,On March 30 2012 wedding and events professionals from near and far will come together at The EPIC Summit Luxury Wedding and Events Industry Business Conference for a day stocked full of education inspiration and ideas.,March 30-come together at-The EPIC Summit Luxury Wedding and Events Industry Business Conference
clueweb12-0000tw-00-00094,But here we are with 6 states Iowa New York New Hampshire Vermont and Connecticut and the District of Columbia proudly offering marriage licenses to all couples gay and straight alike while another 2 states and Washington have opened the 2012 season jockeying to see which can claim to be the eighth jurisdiction to legalize gay marriage.,the District of Columbia-offering marriage licenses to-Washington
clueweb12-0000tw-00-00097,Join us on Tuesday February 14 as WeddingWireâ€TMs CEO Timothy Chi participates in Washington Post Liveâ€TMs live journalism division of The Washington Post 4-day summit 13-16) American Competitiveness What Works.,Timothy Chi-participates in-Washington Post
clueweb12-0000tw-00-00097,Tim will be among local and national innovators leaders and executives from Google JetBlue and Honest Tea discussing forward-thinking in American Manufacturing Innovation Global Competitiveness and Workforce Veterans and Reservists.,Honest Tea-discussing forward-American Manufacturing Innovation Global Competitiveness
clueweb12-0000tw-00-00097,If youâ€TMre in the area start your Valentineâ€TMs Day with us at the Andrew W. Mellon Auditorium to observe Timâ€TMs panel discussion Ideas and Innovation with Dr. Regina Dugan Defense Advanced Research Projects Agency) Alfred Spector of Research and Special Initiatives Google and Moderator Mary Jordan Washington Post Live.,the Andrew W. Mellon Auditorium-observe-Ideas and Innovation
clueweb12-0000tw-00-00098,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Stephen-winning a freeâ-Kindle Fire
clueweb12-0000tw-00-00098,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Kindle Fire-thank youâ for-January
clueweb12-0000tw-00-00098,Congratulations to Stephen for winning a freeÂ Kindle Fire as the lucky winner from our giveaway as thank youÂ for participation in our Business Insight survey featured in the January WeddingWire Pros newsletter.,Kindle Fire-featured in-January
clueweb12-0000tw-00-00099,Creating contacts is particularly important in the wedding industry and WeddingWire offers a unique professional networking tool the Pro Network to connect your business to other Wedding Pros.,WeddingWire-offers a unique professional networking tool the-the Pro Network
clueweb12-0000tw-00-00103,Penn men's basketball faces Harvard at the Palestra.,Penn-faces-Harvard
clueweb12-0000tw-00-00103,Asian Playboy talks about his career as a professional Casanova.,Asian Playboy-talks about-Casanova
clueweb12-0000tw-00-00103,CURF holds Third Annual Undergraduate Research Symposium.,CURF-holds third-Third Annual
clueweb12-0000tw-00-00103,Jeremy Lin gets the best of Wizards Ryan Wittman tells dad he guarded Lin better.,Jeremy Lin-gets the best of-Wizards
clueweb12-0000tw-00-00103,Jeremy Lin gets the best of Wizards Ryan Wittman tells dad he guarded Lin better.,Ryan Wittman-tells dad he-Lin
clueweb12-0000tw-00-00103,Jeremy Lin gets the best of Wizards Ryan Wittman tells dad he guarded Lin better.,Ryan Wittman-guarded-Lin
clueweb12-0000tw-00-00103,Brandyn Curry is getting ready for Rosen.,Brandyn Curry-getting ready for-Rosen
clueweb12-0000tw-00-00103,Palestra may be that stands in the wayâ€TM of Harvardâ€TMs Ivy title hopes.,Palestra-stands in-Ivy
clueweb12-0000tw-00-00103,Jeremy Linâ€TMs emergence leads people to care about Ivy League athletes turned pro.,Jeremy Linâ€TMs-leads people to-Ivy League
clueweb12-0000tw-00-00103,Jeremy Linâ€TMs emergence leads people to care about Ivy League athletes turned pro.,Jeremy Linâ€TMs-care about-Ivy League
clueweb12-0000tw-00-00103,ESPN recognizes Penn-Princeton as one of the great college basketball rivalries.,ESPN-recognizes-Penn-Princeton
clueweb12-0000tw-00-00103,Analysis Santorum benefits from Obama's birth control mistake.,Santorum-benefits from-Obama
clueweb12-0000tw-00-00103,Pennsylvanians abandon Gingrich support Romney and Santorum.,Pennsylvanians-abandon-Gingrich
clueweb12-0000tw-00-00103,Pennsylvanians abandon Gingrich support Romney and Santorum.,Gingrich-support-Romney
clueweb12-0000tw-00-00103,Huntsman named to Ford's Board of Directors.,Huntsman-named to-Ford
clueweb12-0000tw-00-00103,8 hours ago last time a nationally ranked Ivy League basketball team walked into the Palestra it walked out with a loss.,Ivy League-walked into-Palestra
clueweb12-0000tw-00-00103,Now Penn faces the same situation against No. 25 Harvard.,Penn-faces the same situation against-Harvard
clueweb12-0000tw-00-00103,16 hours ago thought it was reasonable to dedicate the shortest month of the year to celebrating the history of blacks 5 minutes ago was late on a Tuesday night and The Vagina Monologues cast was finishing its dress rehearsal before the show premieres tonight at 8 p.m. in Irvine Auditorium.,The Vagina Monologues-finishing its dress rehearsal-Irvine Auditorium
clueweb12-0000tw-00-00103,16 hours ago thought it was reasonable to dedicate the shortest month of the year to celebrating the history of blacks 5 minutes ago was late on a Tuesday night and The Vagina Monologues cast was finishing its dress rehearsal before the show premieres tonight at 8 p.m. in Irvine Auditorium.,The Vagina Monologues-premieres tonight at-Irvine Auditorium
clueweb12-0000tw-00-00103,It was late on a Tuesday night and The Vagina Monologues cast was finishing its dress rehearsal before the show premieres tonight at 8 p.m. in Irvine Auditorium.,The Vagina Monologues-finishing its dress rehearsal-Irvine Auditorium
clueweb12-0000tw-00-00103,It was late on a Tuesday night and The Vagina Monologues cast was finishing its dress rehearsal before the show premieres tonight at 8 p.m. in Irvine Auditorium.,The Vagina Monologues-premieres tonight at-Irvine Auditorium
clueweb12-0000tw-00-00103,Harvard is the antagonist to the Ivy saga this year a growing danger challenging the Ivy power structure of Penn and Princeton.,Ivy-growing danger-Ivy
clueweb12-0000tw-00-00103,Harvard is the antagonist to the Ivy saga this year a growing danger challenging the Ivy power structure of Penn and Princeton.,Ivy-challenging the-Ivy
clueweb12-0000tw-00-00103,7 hours ago In Mike McLaughlinâ€TMs first season a 1-24 Penn team fell in Boston 55-52 on a three with 1.3 seconds left.,Penn-fell in-Boston
clueweb12-0000tw-00-00103,Last season the Crimson survived two overtime periods and 38 points from Alyssa Baron to win 88-84.,Crimson-survived-Alyssa Baron
clueweb12-0000tw-00-00103,16 hours ago Cornell may have already claimed the Ivy League title but thereâ€TMs still a lot at stake for the Penn wrestling team.,Cornell-claimed the-Ivy League
clueweb12-0000tw-00-00103,16 hours ago Cornell may have already claimed the Ivy League title but thereâ€TMs still a lot at stake for the Penn wrestling team.,Ivy League-thereâ€tms still a lot at-Penn
clueweb12-0000tw-00-00103,The Quakers face Columbia at the Palestra this Saturday before traveling to Lewisburg Pa. to compete against Bucknell Sunday.,Quakers-face-Columbia
clueweb12-0000tw-00-00103,The Quakers face Columbia at the Palestra this Saturday before traveling to Lewisburg Pa. to compete against Bucknell Sunday.,this Saturday-traveling to-Lewisburg
clueweb12-0000tw-00-00103,The Quakers face Columbia at the Palestra this Saturday before traveling to Lewisburg Pa. to compete against Bucknell Sunday.,Pa.-compete against-Bucknell
clueweb12-0000tw-00-00103,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-found to-UAâ€TMs
clueweb12-0000tw-00-00103,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-violated the-UAâ€TMs
clueweb12-0000tw-00-00103,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,UAâ€TMs-announced in-Saturday
clueweb12-0000tw-00-00104,Just over four years ago in a supermarket far far away Harvard basketball coach Tommy Amaker bumped into Zack Rosenâ€TMs dad shopping while a high school basketball tournament was going on in Trenton N.J.,Tommy Amaker-bumped into-Zack Rosenâ€TMs
clueweb12-0000tw-00-00104,Just over four years ago in a supermarket far far away Harvard basketball coach Tommy Amaker bumped into Zack Rosenâ€TMs dad shopping while a high school basketball tournament was going on in Trenton N.J.,Zack Rosenâ€TMs-going on-Trenton N.J.
clueweb12-0000tw-00-00104,Harvard is the antagonist to the Ivy saga this year a growing danger challenging the Ivy power structure of Penn and Princeton.,Ivy-growing danger-Ivy
clueweb12-0000tw-00-00104,Harvard is the antagonist to the Ivy saga this year a growing danger challenging the Ivy power structure of Penn and Princeton.,Ivy-challenging the-Ivy
clueweb12-0000tw-00-00104,In a short period of time Harvard has become the Yankees the Cowboys the Heat of the Ivy League the team everyone loves to hate.,Harvard-become the-Yankees
clueweb12-0000tw-00-00104,Penn fans complain about the recent drought of Ivy titles but isnâ€TMt a little more league parity fun,Penn-complain about-Ivy
clueweb12-0000tw-00-00104,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-found to-UAâ€TMs
clueweb12-0000tw-00-00104,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-violated the-UAâ€TMs
clueweb12-0000tw-00-00104,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,UAâ€TMs-announced in-Saturday
clueweb12-0000tw-00-00105,Strong interior play will be key as Penn hopes to avoid more heartbreak at Harvard.,Penn-hopes to-Harvard
clueweb12-0000tw-00-00105,Strong interior play will be key as Penn hopes to avoid more heartbreak at Harvard.,Penn-avoid more heartbreak at-Harvard
clueweb12-0000tw-00-00105,Freshman Kara Bonenbergerâ€TMs play in the post will be vital in establishing an offensive rhythm and helping break Pennâ€TMs slump.,Kara Bonenbergerâ€TMs-establishing an offensive rhythm-Pennâ€TMs
clueweb12-0000tw-00-00105,Freshman Kara Bonenbergerâ€TMs play in the post will be vital in establishing an offensive rhythm and helping break Pennâ€TMs slump.,Kara Bonenbergerâ€TMs-helping-Pennâ€TMs
clueweb12-0000tw-00-00105,Freshman Kara Bonenbergerâ€TMs play in the post will be vital in establishing an offensive rhythm and helping break Pennâ€TMs slump.,Kara Bonenbergerâ€TMs-break-Pennâ€TMs
clueweb12-0000tw-00-00105,Even with Valentineâ€TMs Day fast approaching the Penn womenâ€TMs basketball team was unable to catch a break as they will return to a land of heartbreak this weekend.,Valentineâ€TMs Day-approaching the-Penn
clueweb12-0000tw-00-00105,The Quakers 1-4 Ivy will travel to Harvard 4-1)on Friday a place where third-year coach Mike McLaughlin has watched the Crimson pull out down-to-the-wire games in his two previous trips.,Ivy-travel to-Harvard
clueweb12-0000tw-00-00105,The Quakers 1-4 Ivy will travel to Harvard 4-1)on Friday a place where third-year coach Mike McLaughlin has watched the Crimson pull out down-to-the-wire games in his two previous trips.,Mike McLaughlin-watched the-Crimson
clueweb12-0000tw-00-00105,Last season the Crimson survived two overtime periods and 38 points from Alyssa Baron to win 88-84.,Crimson-survived-Alyssa Baron
clueweb12-0000tw-00-00105,"us to shoot a higher percentage the ball is going to have to get inside,â McLaughlin said pointing to freshman forward Kara Bonenberger as the only player shooting above 40 percent.",McLaughlin-said-Kara Bonenberger
clueweb12-0000tw-00-00105,"us to shoot a higher percentage the ball is going to have to get inside,â McLaughlin said pointing to freshman forward Kara Bonenberger as the only player shooting above 40 percent.",McLaughlin-pointing to-Kara Bonenberger
clueweb12-0000tw-00-00105,Despite their lack of success from beyond the arc the Quakers attempted 33 threes against Brown in their most recent game which they lost in overtime.,Quakers-attempted-Brown
clueweb12-0000tw-00-00105,Penn did receive encouraging performances from post players Katy Allen and Bonenberger last weekend.,Penn-receive encouraging performances from-Katy Allen
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-struggled a bit for-McLaughlin
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-thought she-McLaughlin
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-played-McLaughlin
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-think-McLaughlin
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-going to-McLaughlin
clueweb12-0000tw-00-00105,"think Kara kind of struggled a bit for about five or six games maybe a little bit with her confidence but I thought she played two really good games weekend and I think thatâ€TMs only going to help her,â McLaughlin said.",Kara-help her-McLaughlin
clueweb12-0000tw-00-00105,Penn mired in a 1-9 slide after a program-best start will also face a similarly struggling Dartmouth squad Saturday.,Penn-mired in-Dartmouth
clueweb12-0000tw-00-00105,Penn mired in a 1-9 slide after a program-best start will also face a similarly struggling Dartmouth squad Saturday.,Penn-face a similarly-Dartmouth
clueweb12-0000tw-00-00105,Penn mired in a 1-9 slide after a program-best start will also face a similarly struggling Dartmouth squad Saturday.,Penn-struggling-Dartmouth
clueweb12-0000tw-00-00105,"year we let that game slip away too,â Baron said referring to a 68-65 road defeat to the Big Green.",Baron-said-the Big Green
clueweb12-0000tw-00-00105,"year we let that game slip away too,â Baron said referring to a 68-65 road defeat to the Big Green.",Baron-referring to-the Big Green
clueweb12-0000tw-00-00105,It is important mentally for the Quakers not only to play well but also to find a way back into the win column according to McLaughlin.,Quakers-play well-McLaughlin
clueweb12-0000tw-00-00105,It is important mentally for the Quakers not only to play well but also to find a way back into the win column according to McLaughlin.,Quakers-find a way back into-McLaughlin
clueweb12-0000tw-00-00105,It is important mentally for the Quakers not only to play well but also to find a way back into the win column according to McLaughlin.,Quakers-according to-McLaughlin
clueweb12-0000tw-00-00105,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-found to-UAâ€TMs
clueweb12-0000tw-00-00105,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,The Undergraduate Assembly-violated the-UAâ€TMs
clueweb12-0000tw-00-00105,The Undergraduate Assembly has been found to have violated the Universityâ€TMs Antihazing and Alcohol and Drug policies the UAâ€TMs executive board announced in a statement Saturday evening.,UAâ€TMs-announced in-Saturday
clueweb12-0000tw-00-00106,"pantagrapher Chicago had to write a check for $399,950 to gun rights group The Second Amendment Foundation to settle the McDonald v. Chicago case.",Chicago-had to-The Second Amendment Foundation
clueweb12-0000tw-00-00106,"pantagrapher Chicago had to write a check for $399,950 to gun rights group The Second Amendment Foundation to settle the McDonald v. Chicago case.",Chicago-write a check for-The Second Amendment Foundation
clueweb12-0000tw-00-00106,"pantagrapher Chicago had to write a check for $399,950 to gun rights group The Second Amendment Foundation to settle the McDonald v. Chicago case.",The Second Amendment Foundation-settle the-McDonald
clueweb12-0000tw-00-00106,Cruz Merchandise Mart pulls the plug on its 2012 Next Art Chicago fair citing financial concerns.,Cruz Merchandise Mart-pulls the plug on-Next Art Chicago
clueweb12-0000tw-00-00106,Mayor Rahm Emanuel and Cook County Board President Toni Preckwinkle back different candidates in the race for the Illinois Supreme Court.,Toni Preckwinkle-back different candidates in-the Illinois Supreme Court
clueweb12-0000tw-00-00106,Democratic Sen. Dick Durbin is helping to pass Republican Sen. Mark Kirk’s bills while he is out recovering from a stroke.,Dick Durbin-helping to-Mark Kirk
clueweb12-0000tw-00-00106,Democratic Sen. Dick Durbin is helping to pass Republican Sen. Mark Kirk’s bills while he is out recovering from a stroke.,Dick Durbin-pass republican-Mark Kirk
clueweb12-0000tw-00-00106,Gov. Pat Quinn has released details on his plan to cut Medicaid expenses by $2 billion.,Pat Quinn-released details on-Medicaid
clueweb12-0000tw-00-00106,Gov. Pat Quinn has released details on his plan to cut Medicaid expenses by $2 billion.,Pat Quinn-cut-Medicaid
clueweb12-0000tw-00-00107,The Chicago History Museum has this train car on display as part of the permanent exhibit Chicago Crossroads of America.,The Chicago History Museum-has this train car on-Chicago Crossroads of America
clueweb12-0000tw-00-00108,Amid the Republican-led furor over the Obama administration’s requirement that even religious-affiliated employers provide prescription birth control the nation’s largest Catholic university said this week it covers contraception as part of its health care benefit package.,Republican-led furor over-Obama
clueweb12-0000tw-00-00108,DePaul responded to a complaint from the Equal Employment Opportunity Commission several years ago and added artificial contraception as a benefit to its Blue Cross PPO.,DePaul-responded to-the Equal Employment Opportunity Commission
clueweb12-0000tw-00-00108,DePaul responded to a complaint from the Equal Employment Opportunity Commission several years ago and added artificial contraception as a benefit to its Blue Cross PPO.,the Equal Employment Opportunity Commission-added artificial contraception as-Blue Cross PPO
clueweb12-0000tw-00-00108,DePaul University’s admission seems to contradict the Republican refrain that the contraception requirement which is part of the Affordable Care Act is an unprecedented attack on religious freedom.,DePaul University’s-seems to-the Affordable Care Act
clueweb12-0000tw-00-00108,DePaul University’s admission seems to contradict the Republican refrain that the contraception requirement which is part of the Affordable Care Act is an unprecedented attack on religious freedom.,DePaul University’s-contradict the republican refrain-the Affordable Care Act
clueweb12-0000tw-00-00108,The Affordable Care Act provision was modeled on contraceptive coverage requirements already on the books in 28 states including Illinois.,Affordable Care Act-modeled on-Illinois
clueweb12-0000tw-00-00108,The Affordable Care Act provision was modeled on contraceptive coverage requirements already on the books in 28 states including Illinois.,Affordable Care Act-including-Illinois
clueweb12-0000tw-00-00108,Nonetheless Obama signaled he may pull out of that policy in the face of mounting GOP opposition.,Obama-signaled he-GOP
clueweb12-0000tw-00-00108,Nonetheless Obama signaled he may pull out of that policy in the face of mounting GOP opposition.,Obama-pull out-GOP
clueweb12-0000tw-00-00108,Nonetheless Obama signaled he may pull out of that policy in the face of mounting GOP opposition.,Obama-mounting-GOP
clueweb12-0000tw-00-00108,DePaul you may remember also scored dead last on a campus sexual health report card released by Trojan was 139 out of 141 last year too.,DePaul-remember also-Trojan
clueweb12-0000tw-00-00108,DePaul you may remember also scored dead last on a campus sexual health report card released by Trojan was 139 out of 141 last year too.,DePaul-scored dead last on-Trojan
clueweb12-0000tw-00-00108,DePaul you may remember also scored dead last on a campus sexual health report card released by Trojan was 139 out of 141 last year too.,DePaul-released by-Trojan
clueweb12-0000tw-00-00108,Contraceptive availability factored into the rankings so we wonder exactly how the Blue Demons must have irked Trojan maybe they prefer Durex.,Trojan-prefer-Durex
clueweb12-0000tw-00-00109,they were among the 29 of Gacy's 33 victims found under the crawlspace of his Norwood Park home in 1979.,Gacy-found under-Norwood Park
clueweb12-0000tw-00-00109,Becker and Stephenson reviewed Gacy's work and travel records which they say indicated he was out of town when Nelson and Gilroy disappeared.,Stephenson-reviewed-Gacy
clueweb12-0000tw-00-00109,Becker and Stephenson reviewed Gacy's work and travel records which they say indicated he was out of town when Nelson and Gilroy disappeared.,Gacy-say-Nelson
clueweb12-0000tw-00-00109,Becker and Stephenson reviewed Gacy's work and travel records which they say indicated he was out of town when Nelson and Gilroy disappeared.,Gacy-indicated he-Nelson
clueweb12-0000tw-00-00109,They also contend Gacy's work records didn't leave him enough time to abduct and kill Mowery.,Gacy-leave him enough time to-Mowery
clueweb12-0000tw-00-00109,They also contend Gacy's work records didn't leave him enough time to abduct and kill Mowery.,Gacy-abduct-Mowery
clueweb12-0000tw-00-00109,They also contend Gacy's work records didn't leave him enough time to abduct and kill Mowery.,Gacy-kill-Mowery
clueweb12-0000tw-00-00109,The evidence seems to strongly indicate Gacy had accomplices in the Gilroy and Nelson deaths.,Gacy-had accomplices in-Gilroy
clueweb12-0000tw-00-00109,Stephenson said Gacy flew to Pittsburgh on Sept. 12 1977 and returned to Chicago on Sept. 16 1977.,Stephenson-said-Gacy
clueweb12-0000tw-00-00109,Stephenson said Gacy flew to Pittsburgh on Sept. 12 1977 and returned to Chicago on Sept. 16 1977.,Gacy-flew to-Pittsburgh
clueweb12-0000tw-00-00109,Stephenson said Gacy flew to Pittsburgh on Sept. 12 1977 and returned to Chicago on Sept. 16 1977.,Sept. 12 1977-returned to-Chicago
clueweb12-0000tw-00-00109,Robert Gilroy was reported missing Sept. 15 1977.,Robert Gilroy-reported missing-Sept. 15 1977
